tournament,date,series,court,surface,round,best of,player_1,player_2,winner,rank_1,rank_2,pts_1,pts_2,odd_1,odd_2,score
BNP Paribas Open,3/10/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Tsitsipas S.,Thompson J.,Thompson J.,3,87,5805,647,1.14,5.5,6-7 6-4 6-7
BNP Paribas Open,3/10/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Tabilo A.,Cressy M.,Tabilo A.,187,37,314,1016,2.63,1.5,7-6 7-6
BNP Paribas Open,3/10/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Wu Y.,Davidovich Fokina A.,Davidovich Fokina A.,67,28,793,1390,2,1.8,4-6 1-6
BNP Paribas Open,3/10/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Zverev A.,Cachin P.,Zverev A.,14,66,2500,797,1.08,8,6-3 6-1
BNP Paribas Open,3/10/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Shapovalov D.,Humbert U.,Humbert U.,30,77,1380,678,1.5,2.63,5-7 4-6
BNP Paribas Open,3/11/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Daniel T.,Berrettini M.,Daniel T.,103,23,548,1780,3.5,1.3,7-6 0-6 6-3
BNP Paribas Open,3/11/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Otte O.,Khachanov K.,Khachanov K.,82,15,656,2470,3.75,1.29,3-6 3-6
BNP Paribas Open,3/11/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Medvedev D.,Nakashima B.,Medvedev D.,6,48,3775,927,1.1,7,6-4 6-3
BNP Paribas Open,3/11/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Giron M.,Tiafoe F.,Tiafoe F.,73,16,731,2395,3.2,1.36,2-6 2-6
BNP Paribas Open,3/11/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Rublev A.,Lehecka J.,Rublev A.,7,47,3660,932,1.44,2.75,6-4 6-2
BNP Paribas Open,3/11/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Evans D.,Draper J.,Draper J.,29,56,1380,854,3.2,1.36,4-6 2-6
BNP Paribas Open,3/11/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Sinner J.,Gasquet R.,Sinner J.,13,43,2655,955,1.11,6.5,6-3 7-6
BNP Paribas Open,3/11/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Martinez P.,Auger-Aliassime F.,Auger-Aliassime F.,120,10,476,3245,8,1.08,6-7 4-6
BNP Paribas Open,3/11/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Wawrinka S.,Kecmanovic M.,Wawrinka S.,100,31,557,1290,2.2,1.67,7-6 6-4
BNP Paribas Open,3/11/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Coric B.,Molcan A.,Molcan A.,20,63,1905,820,1.3,3.5,3-6 3-6
BNP Paribas Open,3/11/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Paul T.,Struff J.L.,Paul T.,19,134,2000,446,1.3,3.5,6-3 6-3
BNP Paribas Open,3/11/2023,Masters 1000,Outdoor,Hard,2nd Round,3,De Minaur A.,Fucsovics M.,Fucsovics M.,18,84,2165,652,1.29,3.75,4-6 2-6
BNP Paribas Open,3/11/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Murray A.,Albot R.,Murray A.,55,109,855,522,1.29,3.75,6-4 6-3
BNP Paribas Open,3/11/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Sock J.,Cerundolo F.,Cerundolo F.,154,32,385,1275,1.91,1.91,6-4 3-6 4-6
BNP Paribas Open,3/11/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Griekspoor T.,Pella G.,Griekspoor T.,36,739,1034,30,1.2,4.5,7-6 7-6
BNP Paribas Open,3/11/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Shelton B.,Fritz T.,Fritz T.,41,5,964,3795,4,1.25,6-4 4-6 3-6
BNP Paribas Open,3/11/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Mannarino A.,Musetti L.,Mannarino A.,68,21,791,1855,1.91,1.91,6-4 6-4
BNP Paribas Open,3/12/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Popyrin A.,Hurkacz H.,Hurkacz H.,101,11,556,3110,4.33,1.22,3-6 3-6
BNP Paribas Open,3/12/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Baez S.,Hijikata R.,Baez S.,35,130,1135,451,2,1.8,6-3 6-1
BNP Paribas Open,3/12/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Mcdonald M.,Rune H.,Rune H.,53,8,865,3321,3.2,1.36,5-7 3-6
BNP Paribas Open,3/12/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Alcaraz C.,Kokkinakis T.,Alcaraz C.,2,94,6780,577,1.33,3.4,6-3 6-3
BNP Paribas Open,3/12/2023,Masters 1000,Outdoor,Hard,3rd Round,3,Ruud C.,Garin C.,Garin C.,4,97,5560,566,1.22,4.33,4-6 6-7
BNP Paribas Open,3/12/2023,Masters 1000,Outdoor,Hard,3rd Round,3,Norrie C.,Daniel T.,Norrie C.,12,103,2815,548,1.22,4.33,6-7 7-5 6-2
BNP Paribas Open,3/12/2023,Masters 1000,Outdoor,Hard,3rd Round,3,Ruusuvuori E.,Zverev A.,Zverev A.,59,14,846,2500,3.5,1.3,5-7 6-1 5-7
BNP Paribas Open,3/12/2023,Masters 1000,Outdoor,Hard,3rd Round,3,Davidovich Fokina A.,Khachanov K.,Davidovich Fokina A.,28,15,1390,2470,2.3,1.62,6-3 1-6 6-4
BNP Paribas Open,3/12/2023,Masters 1000,Outdoor,Hard,3rd Round,3,Kubler J.,Tiafoe F.,Tiafoe F.,75,16,710,2395,4.5,1.2,3-6 2-6
BNP Paribas Open,3/12/2023,Masters 1000,Outdoor,Hard,3rd Round,3,Rublev A.,Humbert U.,Rublev A.,7,77,3660,678,1.22,4.33,7-5 6-3
BNP Paribas Open,3/13/2023,Masters 1000,Outdoor,Hard,3rd Round,3,Ivashka I.,Medvedev D.,Medvedev D.,85,6,651,3775,15,1.03,2-6 6-3 1-6
BNP Paribas Open,3/13/2023,Masters 1000,Outdoor,Hard,3rd Round,3,Tabilo A.,Thompson J.,Tabilo A.,187,87,314,647,2.2,1.67,6-3 7-6
BNP Paribas Open,3/13/2023,Masters 1000,Outdoor,Hard,3rd Round,3,Hurkacz H.,Paul T.,Paul T.,11,19,3110,2000,1.73,2.1,6-4 2-6 4-6
BNP Paribas Open,3/13/2023,Masters 1000,Outdoor,Hard,3rd Round,3,Auger-Aliassime F.,Cerundolo F.,Auger-Aliassime F.,10,32,3245,1275,1.2,4.5,7-5 6-4
BNP Paribas Open,3/13/2023,Masters 1000,Outdoor,Hard,3rd Round,3,Rune H.,Wawrinka S.,Wawrinka S.,8,100,3321,557,1.22,4.33,2-6 7-6 5-7
BNP Paribas Open,3/13/2023,Masters 1000,Outdoor,Hard,3rd Round,3,Fucsovics M.,Molcan A.,Fucsovics M.,84,63,652,820,1.57,2.38,6-4 6-2
BNP Paribas Open,3/13/2023,Masters 1000,Outdoor,Hard,3rd Round,3,Baez S.,Fritz T.,Fritz T.,35,5,1135,3795,6.5,1.11,1-6 2-6
BNP Paribas Open,3/13/2023,Masters 1000,Outdoor,Hard,3rd Round,3,Sinner J.,Mannarino A.,Sinner J.,13,68,2655,791,1.1,7,7-6 6-4
BNP Paribas Open,3/14/2023,Masters 1000,Outdoor,Hard,3rd Round,3,Murray A.,Draper J.,Draper J.,55,56,855,854,2.2,1.67,6-7 2-6
BNP Paribas Open,3/14/2023,Masters 1000,Outdoor,Hard,3rd Round,3,Alcaraz C.,Griekspoor T.,Alcaraz C.,2,36,6780,1034,1.1,7,7-6 6-3
BNP Paribas Open,3/14/2023,Masters 1000,Outdoor,Hard,4th Round,3,Garin C.,Davidovich Fokina A.,Davidovich Fokina A.,97,28,566,1390,3,1.4,3-6 4-6
BNP Paribas Open,3/14/2023,Masters 1000,Outdoor,Hard,4th Round,3,Medvedev D.,Zverev A.,Medvedev D.,6,14,3775,2500,1.25,4,6-7 7-6 7-5
BNP Paribas Open,3/14/2023,Masters 1000,Outdoor,Hard,4th Round,3,Rublev A.,Norrie C.,Norrie C.,7,12,3660,2815,1.62,2.3,2-6 4-6
BNP Paribas Open,3/14/2023,Masters 1000,Outdoor,Hard,4th Round,3,Fritz T.,Fucsovics M.,Fritz T.,5,84,3795,652,1.2,4.5,6-4 6-3
BNP Paribas Open,3/14/2023,Masters 1000,Outdoor,Hard,4th Round,3,Tabilo A.,Tiafoe F.,Tiafoe F.,187,16,314,2395,4.5,1.2,4-6 4-6
BNP Paribas Open,3/15/2023,Masters 1000,Outdoor,Hard,4th Round,3,Sinner J.,Wawrinka S.,Sinner J.,13,100,2655,557,1.17,5,6-1 6-4
BNP Paribas Open,3/15/2023,Masters 1000,Outdoor,Hard,4th Round,3,Paul T.,Auger-Aliassime F.,Auger-Aliassime F.,19,10,2000,3245,2,1.8,6-3 3-6 6-7
BNP Paribas Open,3/15/2023,Masters 1000,Outdoor,Hard,Quarterfinals,3,Tiafoe F.,Norrie C.,Tiafoe F.,16,12,2395,2815,2.38,1.57,6-4 6-4
BNP Paribas Open,3/15/2023,Masters 1000,Outdoor,Hard,Quarterfinals,3,Davidovich Fokina A.,Medvedev D.,Medvedev D.,28,6,1390,3775,4.33,1.22,3-6 5-7
BNP Paribas Open,3/16/2023,Masters 1000,Outdoor,Hard,Quarterfinals,3,Sinner J.,Fritz T.,Sinner J.,13,5,2655,3795,1.67,2.2,6-4 4-6 6-4
BNP Paribas Open,3/17/2023,Masters 1000,Outdoor,Hard,Quarterfinals,3,Auger-Aliassime F.,Alcaraz C.,Alcaraz C.,10,2,3245,6780,3.2,1.36,4-6 4-6
BNP Paribas Open,3/18/2023,Masters 1000,Outdoor,Hard,Semifinals,3,Medvedev D.,Tiafoe F.,Medvedev D.,6,16,3775,2395,1.25,4,7-5 7-6
BNP Paribas Open,3/18/2023,Masters 1000,Outdoor,Hard,Semifinals,3,Sinner J.,Alcaraz C.,Alcaraz C.,13,2,2655,6780,2.5,1.53,6-7 3-6
BNP Paribas Open,3/19/2023,Masters 1000,Outdoor,Hard,The Final,3,Alcaraz C.,Medvedev D.,Alcaraz C.,2,6,6780,3775,1.73,2.1,6-3 6-2
Miami Open,3/22/2023,Masters 1000,Outdoor,Hard,1st Round,3,Otte O.,Nakashima B.,Nakashima B.,85,45,656,927,3.4,1.33,6-7 3-6
Miami Open,3/22/2023,Masters 1000,Outdoor,Hard,1st Round,3,Huesler M.A.,Ramos-Vinolas A.,Huesler M.A.,47,51,904,880,1.67,2.2,6-7 7-6 6-3
Miami Open,3/22/2023,Masters 1000,Outdoor,Hard,1st Round,3,Meligeni Alves F.,Bagnis F.,Bagnis F.,164,100,365,561,2.3,1.62,3-6 6-1 4-6
Miami Open,3/22/2023,Masters 1000,Outdoor,Hard,1st Round,3,Fucsovics M.,Cachin P.,Fucsovics M.,74,63,732,822,1.22,4.33,6-4 7-6
Miami Open,3/22/2023,Masters 1000,Outdoor,Hard,1st Round,3,Varillas J.P.,Pella G.,Pella G.,88,581,642,55,2,1.8,6-1 3-6 2-6
Miami Open,3/22/2023,Masters 1000,Outdoor,Hard,1st Round,3,Djere L.,Vukic A.,Djere L.,58,168,845,355,2.2,1.67,6-2 7-6
Miami Open,3/22/2023,Masters 1000,Outdoor,Hard,1st Round,3,Bublik A.,Wolf J.J.,Wolf J.J.,48,50,900,891,2.1,1.73,5-7 3-6
Miami Open,3/22/2023,Masters 1000,Outdoor,Hard,1st Round,3,Ivashka I.,Altmaier D.,Ivashka I.,80,114,696,499,1.53,2.5,6-2 6-1
Miami Open,3/22/2023,Masters 1000,Outdoor,Hard,1st Round,3,Murray A.,Lajovic D.,Lajovic D.,52,76,875,728,1.2,4.5,4-6 5-7
Miami Open,3/22/2023,Masters 1000,Outdoor,Hard,1st Round,3,Ruusuvuori E.,Borges N.,Ruusuvuori E.,54,68,866,787,1.36,3.2,6-1 6-4
Miami Open,3/22/2023,Masters 1000,Outdoor,Hard,1st Round,3,Edmund K.,Wu Y.,Wu Y.,544,64,62,818,6,1.13,5-7 5-7
Miami Open,3/22/2023,Masters 1000,Outdoor,Hard,1st Round,3,Struff J.L.,Fognini F.,Struff J.L.,103,91,543,628,1.29,3.75,6-4 5-7 6-4
Miami Open,3/23/2023,Masters 1000,Outdoor,Hard,1st Round,3,Isner J.,Nava E.,Nava E.,46,182,915,323,1.25,4,6-7 6-7
Miami Open,3/23/2023,Masters 1000,Outdoor,Hard,1st Round,3,Kovacevic A.,Munar J.,Kovacevic A.,102,66,546,796,1.53,2.5,7-6 2-6 6-1
Miami Open,3/23/2023,Masters 1000,Outdoor,Hard,1st Round,3,Coria F.,Lehecka J.,Lehecka J.,67,44,795,941,7,1.1,3-6 4-6
Miami Open,3/23/2023,Masters 1000,Outdoor,Hard,1st Round,3,Halys Q.,Martinez P.,Halys Q.,79,121,705,476,1.33,3.4,6-2 7-6
Miami Open,3/23/2023,Masters 1000,Outdoor,Hard,1st Round,3,Giron M.,Garin C.,Garin C.,71,82,746,672,2.1,1.73,4-6 6-2 4-6
Miami Open,3/23/2023,Masters 1000,Outdoor,Hard,1st Round,3,Mannarino A.,Shang J.,Mannarino A.,62,181,826,323,1.36,3.2,1-6 6-4 6-2
Miami Open,3/23/2023,Masters 1000,Outdoor,Hard,1st Round,3,Thompson J.,Molcan A.,Molcan A.,83,56,667,865,1.62,2.3,2-6 6-4 3-6
Miami Open,3/23/2023,Masters 1000,Outdoor,Hard,1st Round,3,Eubanks C.,Kudla D.,Eubanks C.,119,122,479,475,1.67,2.2,7-6 6-2
Miami Open,3/23/2023,Masters 1000,Outdoor,Hard,1st Round,3,Galan D.E.,Mcdonald M.,Mcdonald M.,89,55,641,865,6.5,1.11,4-6 2-6
Miami Open,3/23/2023,Masters 1000,Outdoor,Hard,1st Round,3,Watanuki Y.,Paire B.,Watanuki Y.,123,170,474,351,1.62,2.3,6-4 7-5
Miami Open,3/23/2023,Masters 1000,Outdoor,Hard,1st Round,3,O Connell C.,Gasquet R.,Gasquet R.,86,40,649,960,2,1.8,4-6 6-3 1-6
Miami Open,3/23/2023,Masters 1000,Outdoor,Hard,1st Round,3,Monteiro T.,Kubler J.,Monteiro T.,81,70,680,748,3,1.4,6-4 7-6
Miami Open,3/23/2023,Masters 1000,Outdoor,Hard,1st Round,3,Safiullin R.,Barrere G.,Barrere G.,104,65,538,801,1.62,2.3,4-6 6-3 3-6
Miami Open,3/23/2023,Masters 1000,Outdoor,Hard,1st Round,3,Etcheverry T.,Kotov P.,Etcheverry T.,73,117,734,490,1.8,2,6-2 6-2
Miami Open,3/23/2023,Masters 1000,Outdoor,Hard,1st Round,3,Thiem D.,Sonego L.,Sonego L.,106,59,530,835,2.3,1.62,6-7 2-6
Miami Open,3/24/2023,Masters 1000,Outdoor,Hard,1st Round,3,Kokkinakis T.,Bergs Z.,Kokkinakis T.,94,135,607,431,1.17,5,4-6 6-3 7-6
Miami Open,3/24/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Bautista Agut R.,Ruusuvuori E.,Ruusuvuori E.,28,54,1430,866,2.1,1.73,4-6 6-7
Miami Open,3/24/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Shapovalov D.,Pella G.,Shapovalov D.,30,581,1345,55,1.22,4.33,6-3 3-6 6-3
Miami Open,3/24/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Wolf J.J.,Rublev A.,Rublev A.,50,7,891,3390,4,1.25,6-7 4-6
Miami Open,3/24/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Sinner J.,Djere L.,Sinner J.,11,58,2925,845,1.07,9,6-4 6-2
Miami Open,3/24/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Wu Y.,Schwartzman D.,Schwartzman D.,64,38,818,990,1.44,2.75,6-7 1-6
Miami Open,3/24/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Van De Zandschulp B.,Popyrin A.,Van De Zandschulp B.,32,93,1170,611,1.73,2.1,4-6 7-6 6-2
Miami Open,3/24/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Huesler M.A.,Paul T.,Paul T.,47,19,904,2045,5,1.17,7-5 3-6 4-6
Miami Open,3/24/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Fritz T.,Nava E.,Fritz T.,10,182,2975,323,1.06,10,6-4 6-1
Miami Open,3/24/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Humbert U.,Kecmanovic M.,Kecmanovic M.,78,35,713,1120,1.91,1.91,4-6 7-6 6-7
Miami Open,3/24/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Dimitrov G.,Struff J.L.,Dimitrov G.,27,103,1450,543,1.44,2.75,4-6 7-6 6-4
Miami Open,3/24/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Bagnis F.,Alcaraz C.,Alcaraz C.,100,1,561,7420,23,1.01,0-6 2-6
Miami Open,3/24/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Davidovich Fokina A.,Nakashima B.,Davidovich Fokina A.,25,45,1545,927,1.57,2.38,6-4 7-6
Miami Open,3/24/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Cressy M.,Lajovic D.,Lajovic D.,37,76,1016,728,1.57,2.38,4-6 6-7
Miami Open,3/24/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Ruud C.,Ivashka I.,Ruud C.,4,80,5560,696,1.4,3,6-2 6-3
Miami Open,3/24/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Fucsovics M.,Rune H.,Rune H.,74,8,732,3325,3.4,1.33,3-6 5-7
Miami Open,3/25/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Daniel T.,Zverev A.,Daniel T.,97,15,583,2580,4.5,1.2,6-0 6-4
Miami Open,3/25/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Kovacevic A.,Cerundolo F.,Cerundolo F.,102,31,546,1320,2.2,1.67,4-6 4-6
Miami Open,3/25/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Eubanks C.,Coric B.,Eubanks C.,119,20,479,1905,3.2,1.36,3-6 6-4 6-2
Miami Open,3/25/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Musetti L.,Lehecka J.,Lehecka J.,21,44,1840,941,3,1.4,4-6 4-6
Miami Open,3/25/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Garin C.,Baez S.,Garin C.,82,33,672,1170,1.53,2.5,7-6 6-3
Miami Open,3/25/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Berrettini M.,Mcdonald M.,Mcdonald M.,23,55,1732,865,1.44,2.75,6-7 6-7
Miami Open,3/25/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Molcan A.,Nishioka Y.,Molcan A.,56,34,865,1144,2,1.8,7-6 1-6 6-2
Miami Open,3/25/2023,Masters 1000,Outdoor,Hard,2nd Round,3,De Minaur A.,Halys Q.,Halys Q.,18,79,2085,705,1.3,3.5,7-6 6-7 6-7
Miami Open,3/25/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Auger-Aliassime F.,Monteiro T.,Auger-Aliassime F.,6,81,3415,680,1.07,9,7-6 7-6
Miami Open,3/25/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Evans D.,Sonego L.,Sonego L.,29,59,1345,835,2.75,1.44,6-4 3-6 2-6
Miami Open,3/25/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Hurkacz H.,Kokkinakis T.,Hurkacz H.,9,94,3065,607,1.3,3.5,6-7 7-6 7-6
Miami Open,3/25/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Etcheverry T.,Khachanov K.,Khachanov K.,73,16,734,2505,3.5,1.3,1-6 6-3 3-6
Miami Open,3/25/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Medvedev D.,Carballes Baena R.,Medvedev D.,5,84,4330,665,1.02,19,6-1 6-2
Miami Open,3/26/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Watanuki Y.,Tiafoe F.,Tiafoe F.,123,14,474,2710,5,1.17,7-6 6-7 4-6
Miami Open,3/26/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Barrere G.,Norrie C.,Barrere G.,65,12,801,2815,6,1.13,6-3 6-2
Miami Open,3/26/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Shelton B.,Mannarino A.,Mannarino A.,39,62,989,826,1.67,2.2,4-6 6-3 1-6
Miami Open,3/26/2023,Masters 1000,Outdoor,Hard,3rd Round,3,Paul T.,Davidovich Fokina A.,Paul T.,19,25,2045,1545,1.62,2.3,6-3 7-5
Miami Open,3/26/2023,Masters 1000,Outdoor,Hard,3rd Round,3,Schwartzman D.,Rune H.,Rune H.,38,8,990,3325,5,1.17,4-6 2-6
Miami Open,3/26/2023,Masters 1000,Outdoor,Hard,3rd Round,3,Fritz T.,Shapovalov D.,Fritz T.,10,30,2975,1345,1.36,3.2,6-4 6-4
Miami Open,3/26/2023,Masters 1000,Outdoor,Hard,3rd Round,3,Kecmanovic M.,Rublev A.,Rublev A.,35,7,1120,3390,4.33,1.22,1-6 2-6
Miami Open,3/26/2023,Masters 1000,Outdoor,Hard,3rd Round,3,Ruusuvuori E.,Daniel T.,Ruusuvuori E.,54,97,866,583,1.57,2.38,6-3 7-6
Miami Open,3/26/2023,Masters 1000,Outdoor,Hard,3rd Round,3,Lajovic D.,Alcaraz C.,Alcaraz C.,76,1,728,7420,15,1.03,0-6 6-7
Miami Open,3/27/2023,Masters 1000,Outdoor,Hard,3rd Round,3,Sinner J.,Dimitrov G.,Sinner J.,11,27,2925,1450,1.22,4.33,6-3 6-4
Miami Open,3/27/2023,Masters 1000,Outdoor,Hard,3rd Round,3,Ruud C.,Van De Zandschulp B.,Van De Zandschulp B.,4,32,5560,1170,1.3,3.5,6-3 4-6 4-6
Miami Open,3/27/2023,Masters 1000,Outdoor,Hard,3rd Round,3,Khachanov K.,Lehecka J.,Khachanov K.,16,44,2505,941,1.73,2.1,6-2 6-4
Miami Open,3/27/2023,Masters 1000,Outdoor,Hard,3rd Round,3,Garin C.,Tsitsipas S.,Tsitsipas S.,82,3,672,5770,3.5,1.3,3-6 6-4 4-6
Miami Open,3/27/2023,Masters 1000,Outdoor,Hard,3rd Round,3,Halys Q.,Mcdonald M.,Halys Q.,79,55,705,865,2.38,1.57,7-6 6-3
Miami Open,3/27/2023,Masters 1000,Outdoor,Hard,3rd Round,3,Auger-Aliassime F.,Cerundolo F.,Cerundolo F.,6,31,3415,1320,1.22,4.33,2-6 5-7
Miami Open,3/27/2023,Masters 1000,Outdoor,Hard,3rd Round,3,Mannarino A.,Hurkacz H.,Mannarino A.,62,9,826,3065,4,1.25,7-6 7-6
Miami Open,3/27/2023,Masters 1000,Outdoor,Hard,3rd Round,3,Barrere G.,Eubanks C.,Eubanks C.,65,119,801,479,1.73,2.1,3-6 6-7
Miami Open,3/28/2023,Masters 1000,Outdoor,Hard,3rd Round,3,Sonego L.,Tiafoe F.,Sonego L.,59,14,835,2710,3.4,1.33,6-3 6-4
Miami Open,3/28/2023,Masters 1000,Outdoor,Hard,4th Round,3,Rublev A.,Sinner J.,Sinner J.,7,11,3390,2925,2.63,1.5,2-6 4-6
Miami Open,3/28/2023,Masters 1000,Outdoor,Hard,4th Round,3,Fritz T.,Rune H.,Fritz T.,10,8,2975,3325,1.62,2.3,6-3 6-4
Miami Open,3/28/2023,Masters 1000,Outdoor,Hard,4th Round,3,Van De Zandschulp B.,Ruusuvuori E.,Ruusuvuori E.,32,54,1170,866,2.2,1.67,6-4 4-6 5-7
Miami Open,3/28/2023,Masters 1000,Outdoor,Hard,4th Round,3,Alcaraz C.,Paul T.,Alcaraz C.,1,19,7420,2045,1.13,6,6-4 6-4
Miami Open,3/28/2023,Masters 1000,Outdoor,Hard,4th Round,3,Tsitsipas S.,Khachanov K.,Khachanov K.,3,16,5770,2505,1.91,1.91,6-7 4-6
Miami Open,3/28/2023,Masters 1000,Outdoor,Hard,4th Round,3,Eubanks C.,Mannarino A.,Eubanks C.,119,62,479,826,2.5,1.53,7-6 7-6
Miami Open,3/29/2023,Masters 1000,Outdoor,Hard,4th Round,3,Sonego L.,Cerundolo F.,Cerundolo F.,59,31,835,1320,1.62,2.3,6-3 3-6 2-6
Miami Open,3/29/2023,Masters 1000,Outdoor,Hard,4th Round,3,Medvedev D.,Halys Q.,Medvedev D.,5,79,4330,705,1.07,9,6-4 6-2
Miami Open,3/29/2023,Masters 1000,Outdoor,Hard,Quarterfinals,3,Ruusuvuori E.,Sinner J.,Sinner J.,54,11,866,2925,6,1.13,3-6 1-6
Miami Open,3/30/2023,Masters 1000,Outdoor,Hard,Quarterfinals,3,Medvedev D.,Eubanks C.,Medvedev D.,5,119,4330,479,1.04,13,6-3 7-5
Miami Open,3/30/2023,Masters 1000,Outdoor,Hard,Quarterfinals,3,Cerundolo F.,Khachanov K.,Khachanov K.,31,16,1320,2505,3.2,1.36,3-6 2-6
Miami Open,3/31/2023,Masters 1000,Outdoor,Hard,Quarterfinals,3,Alcaraz C.,Fritz T.,Alcaraz C.,1,10,7420,2975,1.22,4.33,6-4 6-2
Miami Open,3/31/2023,Masters 1000,Outdoor,Hard,Semifinals,3,Khachanov K.,Medvedev D.,Medvedev D.,16,5,2505,4330,4.5,1.2,6-7 6-3 3-6
Miami Open,4/1/2023,Masters 1000,Outdoor,Hard,Semifinals,3,Sinner J.,Alcaraz C.,Sinner J.,11,1,2925,7420,3,1.4,6-7 6-4 6-2
Miami Open,4/2/2023,Masters 1000,Outdoor,Hard,The Final,3,Sinner J.,Medvedev D.,Medvedev D.,11,5,2925,4330,1.91,1.91,5-7 3-6
Monte Carlo Masters,4/9/2023,Masters 1000,Outdoor,Clay,1st Round,3,Jarry N.,Coric B.,Jarry N.,58,20,814,1890,2,1.8,6-2 6-3
Monte Carlo Masters,4/9/2023,Masters 1000,Outdoor,Clay,1st Round,3,Huesler M.A.,Munar J.,Munar J.,60,83,799,685,2.5,1.53,6-7 6-4 4-6
Monte Carlo Masters,4/9/2023,Masters 1000,Outdoor,Clay,1st Round,3,Hurkacz H.,Djere L.,Hurkacz H.,13,62,2750,790,1.5,2.63,6-7 7-6 7-6
Monte Carlo Masters,4/10/2023,Masters 1000,Outdoor,Clay,1st Round,3,Fucsovics M.,Van De Zandschulp B.,Van De Zandschulp B.,73,31,732,1250,1.67,2.2,6-3 6-7 1-6
Monte Carlo Masters,4/10/2023,Masters 1000,Outdoor,Clay,1st Round,3,Wawrinka S.,Griekspoor T.,Wawrinka S.,90,35,647,1094,2,1.8,5-7 6-3 6-4
Monte Carlo Masters,4/10/2023,Masters 1000,Outdoor,Clay,1st Round,3,Zapata Miralles B.,Bonzi B.,Bonzi B.,41,48,987,901,1.44,2.75,1-6 5-7
Monte Carlo Masters,4/10/2023,Masters 1000,Outdoor,Clay,1st Round,3,Cerundolo F.,Norrie C.,Cerundolo F.,33,14,1140,2735,2.5,1.53,6-3 6-4
Monte Carlo Masters,4/10/2023,Masters 1000,Outdoor,Clay,1st Round,3,Baez S.,Draper J.,Draper J.,32,56,1215,839,1.44,2.75,3-6 5-7
Monte Carlo Masters,4/10/2023,Masters 1000,Outdoor,Clay,1st Round,3,Popyrin A.,Lajovic D.,Popyrin A.,94,69,631,763,2.75,1.44,7-6 6-3
Monte Carlo Masters,4/10/2023,Masters 1000,Outdoor,Clay,1st Round,3,Ramos-Vinolas A.,Struff J.L.,Struff J.L.,50,100,880,574,2.38,1.57,4-6 3-6
Monte Carlo Masters,4/10/2023,Masters 1000,Outdoor,Clay,1st Round,3,Berrettini M.,Cressy M.,Berrettini M.,22,40,1742,1016,1.22,4.33,6-4 6-2
